timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
2023/03/08 20:04:25.960,238,STEP3_/start,302,Found,Thread Group 1-3,text,true,,1131,1853,5,5,https://challenge.flood.io/start,238,0,0
2023/03/08 20:04:26.071,259,STEP4_/start,302,Found,Thread Group 1-1,text,true,,1131,2092,5,5,https://challenge.flood.io/start,259,0,0
2023/03/08 20:04:26.071,257,STEP4_/start,302,Found,Thread Group 1-2,text,true,,1131,2088,5,5,https://challenge.flood.io/start,257,0,0
2023/03/08 20:04:26.031,247,STEP2_/start,302,Found,Thread Group 1-4,text,true,,1131,1824,5,5,https://challenge.flood.io/start,247,0,0
2023/03/08 20:04:26.702,1083,openStartPage_/,200,OK,Thread Group 1-5,text,true,,3224,696,5,5,https://challenge.flood.io/,1082,0,835
2023/03/08 20:04:27.773,247,STEP2_/step/2,200,OK,Thread Group 1-4,text,true,,2420,1451,5,5,https://challenge.flood.io/step/2,247,0,0
2023/03/08 20:04:27.800,241,STEP4_/step/4,200,OK,Thread Group 1-2,text,true,,2041,1537,5,5,https://challenge.flood.io/step/4,241,0,0
2023/03/08 20:04:27.692,271,STEP3_/step/3,200,OK,Thread Group 1-3,text,true,,3029,1457,5,5,https://challenge.flood.io/step/3,271,0,0
2023/03/08 20:04:27.796,236,STEP2_/start,302,Found,Thread Group 1-5,text,true,,1131,1826,5,5,https://challenge.flood.io/start,236,0,0
2023/03/08 20:04:27.805,300,STEP4_/step/4,200,OK,Thread Group 1-1,text,true,,2047,1537,5,5,https://challenge.flood.io/step/4,300,0,0
2023/03/08 20:04:28.026,238,STEP3_/start,302,Found,Thread Group 1-4,text,true,,1131,1853,5,5,https://challenge.flood.io/start,238,0,0
2023/03/08 20:04:28.073,233,STEP5_/start,302,Found,Thread Group 1-2,text,true,,1131,2265,5,5,https://challenge.flood.io/start,233,0,0
2023/03/08 20:04:28.073,240,STEP4_/start,302,Found,Thread Group 1-3,text,true,,1131,2088,5,5,https://challenge.flood.io/start,240,0,0
